#At time x process y state arr w total z remain y wait k
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
At time 1 process 10 started arr 0 total 1 remain 1 wait 0
